seed,ratio,eligible_rounds,mean_delta_over_mu,max_delta_over_mu_deviation,mean_chi,mean_rho,expected_chi
9,1.25,5000,1.25,3.2862601528904634e-14,1.0,0.022222222222222223,1.0
9,1.5,5000,1.5,6.550315845288424e-14,1.0,0.022222222222222223,1.0
9,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
10,0.0,5000,0.0,0.0,0.0,0.0,0.0
10,0.25,5000,0.25000000000000006,1.2506662372402388e-13,0.0,0.0,0.0
10,0.5,5000,0.5000000000000001,2.5013324744804777e-13,0.0,0.0,0.0
10,0.75,5000,0.7500000000000001,3.752553823233029e-13,0.0,0.0,0.0
10,0.9,5000,0.9,3.502753642692369e-13,0.0,0.0,0.0
10,0.99,5000,0.99,4.1533443351227106e-13,0.0,0.0,0.0
10,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
10,1.01,5000,1.0099999999999998,4.1522341120980855e-13,1.0,0.022222222222222223,1.0
10,1.1,5000,1.1,3.5016434196677437e-13,1.0,0.022222222222222223,1.0
10,1.25,5000,1.25,3.752553823233029e-13,1.0,0.022222222222222223,1.0
10,1.5,5000,1.5,2.502442697505103e-13,1.0,0.022222222222222223,1.0
10,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
11,0.0,5000,0.0,0.0,0.0,0.0,0.0
11,0.25,5000,0.25000000000000006,1.8723911310303265e-13,0.0,0.0,0.0
11,0.5,5000,0.5000000000000001,3.744782262060653e-13,0.0,0.0,0.0
11,0.75,5000,0.7500000000000002,5.617728504603292e-13,0.0,0.0,0.0
11,0.9,5000,0.9000000000000001,6.741274205523951e-13,0.0,0.0,0.0
11,0.99,5000,0.9900000000000002,7.415179581471421e-13,0.0,0.0,0.0
11,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
11,1.01,5000,1.0099999999999996,7.416289804496046e-13,1.0,0.022222222222222223,1.0
11,1.1,5000,1.0999999999999999,6.741274205523951e-13,1.0,0.022222222222222223,1.0
11,1.25,5000,1.25,5.617728504603292e-13,1.0,0.022222222222222223,1.0
11,1.5,5000,1.5,3.745892485085278e-13,1.0,0.022222222222222223,1.0
11,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
12,0.0,5000,0.0,0.0,0.0,0.0,0.0
12,0.25,5000,0.25,2.1926904736346842e-14,0.0,0.0,0.0
12,0.5,5000,0.5,1.1324274851176597e-14,0.0,0.0,0.0
12,0.75,5000,0.75,2.19824158875781e-14,0.0,0.0,0.0
12,0.9,5000,0.9000000000000001,2.3314683517128287e-14,0.0,0.0,0.0
12,0.99,5000,0.99,2.5646151868841116e-14,0.0,0.0,0.0
12,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
12,1.01,5000,1.01,2.5757174171303632e-14,1.0,0.022222222222222223,1.0
12,1.1,5000,1.0999999999999999,2.3314683517128287e-14,1.0,0.022222222222222223,1.0
12,1.25,5000,1.25,2.19824158875781e-14,1.0,0.022222222222222223,1.0
12,1.5,5000,1.5,1.1324274851176597e-14,1.0,0.022222222222222223,1.0
12,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
13,0.0,5000,0.0,0.0,0.0,0.0,0.0
13,0.25,5000,0.25,5.234701561107613e-14,0.0,0.0,0.0
13,0.5,5000,0.5,4.729550084903167e-14,0.0,0.0,0.0
13,0.75,5000,0.75,3.8746783559417963e-14,0.0,0.0,0.0
13,0.9,5000,0.9,3.497202527569243e-14,0.0,0.0,0.0
13,0.99,5000,0.99,3.952393967665557e-14,0.0,0.0,0.0
13,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
13,1.01,5000,1.01,3.952393967665557e-14,1.0,0.022222222222222223,1.0
13,1.1,5000,1.1,3.4861002973229915e-14,1.0,0.022222222222222223,1.0
13,1.25,5000,1.25,3.863576125695545e-14,1.0,0.022222222222222223,1.0
13,1.5,5000,1.5,4.729550084903167e-14,1.0,0.022222222222222223,1.0
13,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
14,0.0,5000,0.0,0.0,0.0,0.0,0.0
14,0.25,5000,0.25000000000000017,1.056488230233299e-12,0.0,0.0,0.0
14,0.5,5000,0.5000000000000003,2.112976460466598e-12,0.0,0.0,0.0
14,0.75,5000,0.7499999999999998,1.056488230233299e-12,0.0,0.0,0.0
14,0.9,5000,0.9,4.226619054747971e-13,0.0,0.0,0.0
14,0.99,5000,0.9900000000000003,1.6481260800560449e-12,0.0,0.0,0.0
14,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
14,1.01,5000,1.0099999999999996,1.6482371023585074e-12,1.0,0.022222222222222223,1.0
14,1.1,5000,1.1,4.225508831723346e-13,1.0,0.022222222222222223,1.0
14,1.25,5000,1.2500000000000002,1.056488230233299e-12,1.0,0.022222222222222223,1.0
14,1.5,5000,1.4999999999999996,2.112976460466598e-12,1.0,0.022222222222222223,1.0
14,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
15,0.0,5000,0.0,0.0,0.0,0.0,0.0
15,0.25,5000,0.2500000000000001,6.337708136072706e-13,0.0,0.0,0.0
15,0.5,5000,0.5000000000000003,1.2675416272145412e-12,0.0,0.0,0.0
15,0.75,5000,0.7499999999999998,6.338263247585019e-13,0.0,0.0,0.0
15,0.9,5000,0.9000000000000001,2.5346391652192324e-13,0.0,0.0,0.0
15,0.99,5000,0.99,2.788880237858393e-13,0.0,0.0,0.0
15,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
15,1.01,5000,1.01,2.788880237858393e-13,1.0,0.022222222222222223,1.0
15,1.1,5000,1.0999999999999999,2.5357493882438575e-13,1.0,0.022222222222222223,1.0
15,1.25,5000,1.2500000000000002,6.337153024560394e-13,1.0,0.022222222222222223,1.0
15,1.5,5000,1.4999999999999996,1.2676526495170037e-12,1.0,0.022222222222222223,1.0
15,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
16,0.0,5000,0.0,0.0,0.0,0.0,0.0
16,0.25,5000,0.25000000000000006,1.0202949596305189e-13,0.0,0.0,0.0
16,0.5,5000,0.5,2.0405899192610377e-13,0.0,0.0,0.0
16,0.75,5000,0.75,1.509903313490213e-13,0.0,0.0,0.0
16,0.9,5000,0.9000000000000001,1.8118839761882555e-13,0.0,0.0,0.0
16,0.99,5000,0.99,1.992850329202156e-13,0.0,0.0,0.0
16,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
16,1.01,5000,1.01,1.9939605522267811e-13,1.0,0.022222222222222223,1.0
16,1.1,5000,1.0999999999999999,1.8118839761882555e-13,1.0,0.022222222222222223,1.0
16,1.25,5000,1.25,1.509903313490213e-13,1.0,0.022222222222222223,1.0
16,1.5,5000,1.5,2.0405899192610377e-13,1.0,0.022222222222222223,1.0
16,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
17,0.0,5000,0.0,0.0,0.0,0.0,0.0
17,0.25,5000,0.25,7.613354391367011e-14,0.0,0.0,0.0
17,0.5,5000,0.5,8.859579736508749e-14,0.0,0.0,0.0
17,0.75,5000,0.75,9.880984919163893e-14,0.0,0.0,0.0
17,0.9,5000,0.9000000000000001,6.583622536027178e-14,0.0,0.0,0.0
17,0.99,5000,0.99,5.928590951498336e-14,0.0,0.0,0.0
17,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
17,1.01,5000,1.01,5.928590951498336e-14,1.0,0.022222222222222223,1.0
17,1.1,5000,1.1,6.59472476627343e-14,1.0,0.022222222222222223,1.0
17,1.25,5000,1.25,9.880984919163893e-14,1.0,0.022222222222222223,1.0
17,1.5,5000,1.5,8.859579736508749e-14,1.0,0.022222222222222223,1.0
17,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
18,0.0,5000,0.0,0.0,0.0,0.0,0.0
18,0.25,5000,0.25,6.034062138837726e-14,0.0,0.0,0.0
18,0.5,5000,0.5,6.294964549624638e-14,0.0,0.0,0.0
18,0.75,5000,0.75,9.43689570931383e-14,0.0,0.0,0.0
18,0.9,5000,0.9,4.6407322429331543e-14,0.0,0.0,0.0
18,0.99,5000,0.99,6.461498003318411e-14,0.0,0.0,0.0
18,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
18,1.01,5000,1.01,6.461498003318411e-14,1.0,0.022222222222222223,1.0
18,1.1,5000,1.1,4.6407322429331543e-14,1.0,0.022222222222222223,1.0
18,1.25,5000,1.25,9.43689570931383e-14,1.0,0.022222222222222223,1.0
18,1.5,5000,1.5,6.283862319378386e-14,1.0,0.022222222222222223,1.0
18,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
19,0.0,5000,0.0,0.0,0.0,0.0,0.0
19,0.25,5000,0.25,3.6193270602780103e-14,0.0,0.0,0.0
19,0.5,5000,0.5,7.238654120556021e-14,0.0,0.0,0.0
19,0.75,5000,0.75,1.0857981180834031e-13,0.0,0.0,0.0
19,0.9,5000,0.9000000000000001,4.340972026284362e-14,0.0,0.0,0.0
19,0.99,5000,0.99,7.671641100159832e-14,0.0,0.0,0.0
19,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
19,1.01,5000,1.01,7.682743330406083e-14,1.0,0.022222222222222223,1.0
19,1.1,5000,1.1,4.3520742565306136e-14,1.0,0.022222222222222223,1.0
19,1.25,5000,1.25,1.0857981180834031e-13,1.0,0.022222222222222223,1.0
19,1.5,5000,1.5,7.238654120556021e-14,1.0,0.022222222222222223,1.0
19,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
20,0.0,5000,0.0,0.0,0.0,0.0,0.0
20,0.25,5000,0.25,8.737455203799982e-14,0.0,0.0,0.0
20,0.5,5000,0.5,1.1368683772161603e-13,0.0,0.0,0.0
20,0.75,5000,0.75,5.684341886080802e-14,0.0,0.0,0.0
20,0.9,5000,0.9,6.816769371198461e-14,0.0,0.0,0.0
20,0.99,5000,0.99,3.086420008457935e-14,0.0,0.0,0.0
20,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
20,1.01,5000,1.01,3.086420008457935e-14,1.0,0.022222222222222223,1.0
20,1.1,5000,1.1,6.838973831690964e-14,1.0,0.022222222222222223,1.0
20,1.25,5000,1.25,5.684341886080802e-14,1.0,0.022222222222222223,1.0
20,1.5,5000,1.5,1.1368683772161603e-13,1.0,0.022222222222222223,1.0
20,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
21,0.0,5000,0.0,0.0,0.0,0.0,0.0
21,0.25,5000,0.24999999999999956,2.3614721289533236e-12,0.0,0.0,0.0
21,0.5,5000,0.5000000000000002,1.574296248918472e-12,0.0,0.0,0.0
21,0.75,5000,0.7499999999999998,7.87148124459236e-13,0.0,0.0,0.0
21,0.9,5000,0.8999999999999997,2.2040147484858608e-12,0.0,0.0,0.0
21,0.99,5000,0.9899999999999993,3.054112518441343e-12,0.0,0.0,0.0
21,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
21,1.01,5000,1.0100000000000007,3.0542235407438056e-12,1.0,0.022222222222222223,1.0
21,1.1,5000,1.1000000000000003,2.2040147484858608e-12,1.0,0.022222222222222223,1.0
21,1.25,5000,1.2500000000000002,7.87148124459236e-13,1.0,0.022222222222222223,1.0
21,1.5,5000,1.4999999999999996,1.574296248918472e-12,1.0,0.022222222222222223,1.0
21,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
22,0.0,5000,0.0,0.0,0.0,0.0,0.0
22,0.25,5000,0.24999999999999992,2.6584290324649373e-13,0.0,0.0,0.0
22,0.5,5000,0.5,1.7719159473017498e-13,0.0,0.0,0.0
22,0.75,5000,0.75,2.0872192862952943e-13,0.0,0.0,0.0
22,0.9,5000,0.9000000000000001,1.687538997430238e-13,0.0,0.0,0.0
22,0.99,5000,0.99,1.7530421558831222e-13,0.0,0.0,0.0
22,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
22,1.01,5000,1.01,1.751931932858497e-13,1.0,0.022222222222222223,1.0
22,1.1,5000,1.0999999999999999,1.687538997430238e-13,1.0,0.022222222222222223,1.0
22,1.25,5000,1.25,2.0872192862952943e-13,1.0,0.022222222222222223,1.0
22,1.5,5000,1.5,1.7719159473017498e-13,1.0,0.022222222222222223,1.0
22,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
23,0.0,5000,0.0,0.0,0.0,0.0,0.0
23,0.25,5000,0.25,2.745581539898012e-13,0.0,0.0,0.0
23,0.5,5000,0.5,1.8302026560945706e-13,0.0,0.0,0.0
23,0.75,5000,0.75,1.0325074129013956e-13,0.0,0.0,0.0
23,0.9,5000,0.9000000000000004,2.5623947408348613e-13,0.0,0.0,0.0
23,0.99,5000,0.99,3.5504932327512506e-13,0.0,0.0,0.0
23,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
23,1.01,5000,1.01,3.5504932327512506e-13,1.0,0.022222222222222223,1.0
23,1.1,5000,1.0999999999999996,2.5623947408348613e-13,1.0,0.022222222222222223,1.0
23,1.25,5000,1.25,1.0325074129013956e-13,1.0,0.022222222222222223,1.0
23,1.5,5000,1.5,1.829647544582258e-13,1.0,0.022222222222222223,1.0
