run_id,created_time,experiment_id,mode,config_hash,seed,delay_setting,method,T,K,D_max,delay_meta_type,delay_meta_p,delay_meta_w,delay_meta_p_fast,delay_meta_p_slow,delay_meta_switch_t
toy_full_548dad5802_0_delay_causal_labelled_s003,2026-06-20T06:13:05.280363Z,toy,full,548dad5802,3,0_delay,causal_labelled,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_oracle_s003,2026-06-20T06:13:05.299001Z,toy,full,548dad5802,3,geom_0.15,oracle,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_naive_s003,2026-06-20T06:13:05.319764Z,toy,full,548dad5802,3,geom_0.15,naive,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_causal_labelled_s003,2026-06-20T06:13:05.340664Z,toy,full,548dad5802,3,geom_0.15,causal_labelled,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_piece_0.6to0.15_oracle_s003,2026-06-20T06:13:05.360111Z,toy,full,548dad5802,3,piece_0.6to0.15,oracle,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_naive_s003,2026-06-20T06:13:05.381387Z,toy,full,548dad5802,3,piece_0.6to0.15,naive,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_causal_labelled_s003,2026-06-20T06:13:05.402837Z,toy,full,548dad5802,3,piece_0.6to0.15,causal_labelled,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_oracle_s003,2026-06-20T06:13:05.421914Z,toy,full,548dad5802,3,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_naive_s003,2026-06-20T06:13:05.442499Z,toy,full,548dad5802,3,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_causal_labelled_s003,2026-06-20T06:13:05.463007Z,toy,full,548dad5802,3,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_0_delay_oracle_s004,2026-06-20T06:13:05.481927Z,toy,full,548dad5802,4,0_delay,oracle,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_naive_s004,2026-06-20T06:13:05.503431Z,toy,full,548dad5802,4,0_delay,naive,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_causal_labelled_s004,2026-06-20T06:13:05.525215Z,toy,full,548dad5802,4,0_delay,causal_labelled,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_oracle_s004,2026-06-20T06:13:05.544200Z,toy,full,548dad5802,4,geom_0.15,oracle,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_naive_s004,2026-06-20T06:13:05.565363Z,toy,full,548dad5802,4,geom_0.15,naive,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_causal_labelled_s004,2026-06-20T06:13:05.586680Z,toy,full,548dad5802,4,geom_0.15,causal_labelled,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_piece_0.6to0.15_oracle_s004,2026-06-20T06:13:05.606432Z,toy,full,548dad5802,4,piece_0.6to0.15,oracle,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_naive_s004,2026-06-20T06:13:05.628011Z,toy,full,548dad5802,4,piece_0.6to0.15,naive,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_causal_labelled_s004,2026-06-20T06:13:05.649641Z,toy,full,548dad5802,4,piece_0.6to0.15,causal_labelled,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_oracle_s004,2026-06-20T06:13:05.669237Z,toy,full,548dad5802,4,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_naive_s004,2026-06-20T06:13:05.690387Z,toy,full,548dad5802,4,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_causal_labelled_s004,2026-06-20T06:13:05.711494Z,toy,full,548dad5802,4,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_0_delay_oracle_s005,2026-06-20T06:13:05.731009Z,toy,full,548dad5802,5,0_delay,oracle,2000,5,10,zero_delay,NA,NA,NA,NA,NA
