mechanism_id,mechanism_display_name,route_id,route_display_name,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,run_tier,paper_result
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,mean_reversal_margin,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,empty_arrival_clock_rate,30,0.36318,0.0008787844269020243,0.3614666666666667,0.3648801666666667,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,multiarrival_clock_rate,30,0.2640266666666667,0.0006688974172392005,0.26275983333333325,0.2652933333333333,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,mean_route_map_age,30,11.60404,0.04275747312512722,11.522717833333333,11.687183166666667,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,generated_mean_delay,30,14.970849673202613,0.03199355141760655,14.9074477124183,15.030649019607845,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,alignment_budget_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,structural_regret_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,route_regret_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,transfer_bound_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,transfer_slack_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,regret_stability_slack_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,ranking_reversal_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,pairwise_sign_disagreement_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,directed_choice_disagreement_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,complete_conflict_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,mean_structural_conflict_margin,0,,,,,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,min_structural_conflict_margin,0,,,,,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,mean_route_conflict_margin,0,,,,,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,min_route_conflict_margin,0,,,,,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,margin_preservation_rate,30,1.0,0.0,1.0,1.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,mean_reversal_margin,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,empty_arrival_clock_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
