figure_id,panel_id,mechanism_id,mechanism_display_name,delay_threshold,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,run_tier,paper_result
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,60,delay_survival_probability,30,0.01821333333333334,0.00035022926262445205,0.01754,0.018873666666666667,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,61,delay_survival_probability,30,0.016993333333333336,0.0003660894097603717,0.0162665,0.01768016666666667,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,62,delay_survival_probability,30,0.015866666666666664,0.00034485823618573197,0.015186666666666666,0.016519999999999996,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,63,delay_survival_probability,30,0.014919999999999998,0.0003426200603396223,0.014286666666666666,0.015580333333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,64,delay_survival_probability,30,0.013940000000000003,0.00033247936587949673,0.013293333333333336,0.014560333333333331,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,65,delay_survival_probability,30,0.012886666666666666,0.00032201711003778684,0.012273166666666667,0.013493333333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,66,delay_survival_probability,30,0.012,0.00031717140657604257,0.011386666666666665,0.012586666666666668,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,67,delay_survival_probability,30,0.011166666666666667,0.0002978981285929085,0.010579833333333332,0.011726666666666666,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,68,delay_survival_probability,30,0.010366666666666666,0.00027942195395582364,0.009819833333333333,0.010880333333333332,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,69,delay_survival_probability,30,0.009633333333333332,0.0002535419588632512,0.009133166666666666,0.010119999999999999,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,70,delay_survival_probability,30,0.008906666666666667,0.00021819180285988986,0.0085065,0.009326666666666665,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,71,delay_survival_probability,30,0.008320000000000001,0.0002154065922853801,0.007899833333333333,0.00872,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,72,delay_survival_probability,30,0.007773333333333333,0.00019528542820044956,0.007393333333333333,0.008160166666666666,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,73,delay_survival_probability,30,0.00724,0.00018480185101327055,0.006879833333333332,0.007573333333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,74,delay_survival_probability,30,0.006666666666666667,0.00019566176147682655,0.006299833333333333,0.007020166666666666,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,75,delay_survival_probability,30,0.006213333333333333,0.0001767999930653073,0.005886666666666667,0.006553333333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,76,delay_survival_probability,30,0.005786666666666667,0.00015813084450756065,0.005466666666666665,0.0060866666666666664,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,77,delay_survival_probability,30,0.005286666666666666,0.00014627429228123267,0.004986666666666666,0.005566666666666667,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,78,delay_survival_probability,30,0.004873333333333333,0.00015712454488514514,0.004573166666666666,0.0051666666666666675,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,79,delay_survival_probability,30,0.0044933333333333336,0.0001620935825438987,0.004166666666666667,0.0047933333333333335,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,80,delay_survival_probability,30,0.004073333333333333,0.00016622470135631515,0.0037465,0.0043735,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,81,delay_survival_probability,30,0.0037200000000000006,0.00014935878272472462,0.0034265,0.004,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,82,delay_survival_probability,30,0.0032799999999999995,0.00015119447779248594,0.002986666666666667,0.003566666666666667,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,83,delay_survival_probability,30,0.00296,0.00014460409685616174,0.0026866666666666666,0.003253333333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,84,delay_survival_probability,30,0.0026666666666666666,0.0001429840705968481,0.0023933333333333333,0.002946666666666667,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,85,delay_survival_probability,30,0.002366666666666667,0.00011389986864183976,0.0021533333333333335,0.002586666666666667,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,86,delay_survival_probability,30,0.0021133333333333334,9.52592751490148e-05,0.0019333333333333333,0.0022933333333333334,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,87,delay_survival_probability,30,0.0018933333333333332,0.00010136236728646243,0.0016933333333333334,0.002086666666666667,2000,0.95,full,False
