seed,delay_state_coupling_beta,mean_delay,pending_at_horizon,pending_fraction,source_state_mismatch,ranking_reversal_rate,target_mean_delay,exact_match
13,0.25,2.0,4,0.0008,0.2051730052183785,0.0862690152121697,2,True
13,0.5,2.0,4,0.0008,0.2308278790327585,0.1072858286629303,2,True
13,1.0,2.0,5,0.001,0.2855301235264929,0.1519519519519519,2,True
13,1.5,2.0,6,0.0012,0.3048608077490721,0.1670004004805766,2,True
13,2.0,2.0,6,0.0012,0.3099495828726251,0.1684020824989988,2,True
13,3.0,2.0,5,0.001,0.3078741971432147,0.1673673673673673,2,True
14,0.0,2.0,2,0.0004,0.1783170965097254,0.0630252100840336,2,True
14,0.25,2.0,3,0.0006,0.2030403281661486,0.0840504302581549,2,True
14,0.5,2.0,4,0.0008,0.2273459695515178,0.1062850280224179,2,True
14,1.0,2.0,5,0.001,0.2830807664120418,0.1515515515515515,2,True
14,1.5,2.0,7,0.0014,0.3028213526490722,0.1680352493490887,2,True
14,2.0,2.0,6,0.0012,0.3044332742345348,0.1665999199038846,2,True
14,3.0,2.0,6,0.0012,0.3052098062480302,0.1686023227873448,2,True
15,0.0,2.0,2,0.0004,0.1825042798703864,0.0638255302120848,2,True
15,0.25,2.0,3,0.0006,0.2133160754884411,0.0870522313388032,2,True
15,0.5,2.0,4,0.0008,0.240061820530524,0.1070856685348278,2,True
15,1.0,2.0,5,0.001,0.2965182877312894,0.1519519519519519,2,True
15,1.5,2.0,6,0.0012,0.3145947022880567,0.1657989587505006,2,True
15,2.0,2.0,6,0.0012,0.3096369374844497,0.1643972767320785,2,True
15,3.0,2.0,6,0.0012,0.311451193515663,0.1647977573087705,2,True
16,0.0,2.0,2,0.0004,0.1784335703287062,0.0638255302120848,2,True
16,0.25,2.0,3,0.0006,0.2016828217854971,0.0826495897538523,2,True
16,0.5,2.0,3,0.0006,0.2332395176131537,0.1072643586151691,2,True
16,1.0,2.0,5,0.001,0.2892951681607141,0.1535535535535535,2,True
16,1.5,2.0,7,0.0014,0.3076477274855748,0.1678349689565391,2,True
16,2.0,2.0,7,0.0014,0.3049950240970675,0.1656318846384939,2,True
16,3.0,2.0,6,0.0012,0.3057971416994573,0.1668001601922306,2,True
17,0.0,2.0,1,0.0002,0.177652373084483,0.0630126025205041,2,True
17,0.25,2.0,3,0.0006,0.2043783089655675,0.0836501901140684,2,True
17,0.5,2.0,3,0.0006,0.2340926432037483,0.1050630378226936,2,True
17,1.0,2.0,4,0.0008,0.2894359578697386,0.1487189751801441,2,True
17,1.5,2.0,5,0.001,0.3066562754625411,0.1633633633633633,2,True
17,2.0,2.0,5,0.001,0.3103995087713999,0.1649649649649649,2,True
17,3.0,2.0,5,0.001,0.3099350399219796,0.1643643643643643,2,True
18,0.0,2.0,3,0.0006,0.1748559138416003,0.0626375825495297,2,True
18,0.25,2.0,3,0.0006,0.2025481405241375,0.0842505503301981,2,True
18,0.5,2.0,3,0.0006,0.2271350576366666,0.1052631578947368,2,True
18,1.0,2.0,5,0.001,0.2812544241995949,0.1521521521521521,2,True
18,1.5,2.0,5,0.001,0.3000470580219926,0.1661661661661661,2,True
18,2.0,2.0,5,0.001,0.2974592404396301,0.1659659659659659,2,True
18,3.0,2.0,5,0.001,0.2990455181644235,0.1655655655655655,2,True
19,0.0,2.0,2,0.0004,0.1786186967071099,0.0640256102440976,2,True
19,0.25,2.0,2,0.0004,0.2056171587795724,0.0842336934773909,2,True
19,0.5,2.0,3,0.0006,0.234206991308426,0.1076645987592555,2,True
19,1.0,2.0,5,0.001,0.2930636804293786,0.1531531531531531,2,True
19,1.5,2.0,6,0.0012,0.3067697023895428,0.1659991990388466,2,True
19,2.0,2.0,5,0.001,0.3106267457165326,0.1687687687687687,2,True
19,3.0,2.0,5,0.001,0.3114787322753191,0.1687687687687687,2,True
20,0.0,2.0,2,0.0004,0.1715293779507015,0.062625050020008,2,True
20,0.25,2.0,3,0.0006,0.2002755090468904,0.08685211126676,2,True
20,0.5,2.0,3,0.0006,0.2264679934314984,0.1082649589753852,2,True
20,1.0,2.0,4,0.0008,0.2763606947517306,0.1521216973578863,2,True
20,1.5,2.0,5,0.001,0.2964968153239842,0.1681681681681681,2,True
20,2.0,2.0,5,0.001,0.2960812108581609,0.1691691691691691,2,True
20,3.0,2.0,4,0.0008,0.2987705054935434,0.1703362690152121,2,True
21,0.0,2.0,2,0.0004,0.1770411572287487,0.0632252901160464,2,True
21,0.25,2.0,2,0.0004,0.2047204404925679,0.0852340936374549,2,True
21,0.5,2.0,2,0.0004,0.2296337056864955,0.1058423369347739,2,True
21,1.0,2.0,5,0.001,0.2824101820847954,0.1485485485485485,2,True
21,1.5,2.0,6,0.0012,0.3008154286031608,0.1645975170204245,2,True
21,2.0,2.0,5,0.001,0.3011659488388499,0.1647647647647647,2,True
21,3.0,2.0,5,0.001,0.3020617233636047,0.1653653653653653,2,True
22,0.0,2.0,2,0.0004,0.1887050351403591,0.0634253701480592,2,True
22,0.25,2.0,2,0.0004,0.2227412714814498,0.087234893957583,2,True
22,0.5,2.0,2,0.0004,0.2478475408190288,0.1054421768707483,2,True
22,1.0,2.0,5,0.001,0.3096621426094713,0.1491491491491491,2,True
22,1.5,2.0,6,0.0012,0.3254146885635186,0.1631958350020024,2,True
22,2.0,2.0,5,0.001,0.3306864538672229,0.1655655655655655,2,True
22,3.0,2.0,5,0.001,0.330324445537165,0.1659659659659659,2,True
23,0.0,2.0,3,0.0006,0.1743311761440487,0.0630378226936161,2,True
23,0.25,2.0,3,0.0006,0.2000585072357729,0.0856513908345007,2,True
23,0.5,2.0,3,0.0006,0.2282650297768777,0.1090654392635581,2,True
