method_id,delay_state_coupling_beta,n_seeds,n_rows,causal_regret_per_round_mean,causal_regret_per_round_se,causal_regret_per_round_ci_low,causal_regret_per_round_ci_high,causal_regret_all_rounds_mean,causal_regret_all_rounds_se,causal_regret_all_rounds_ci_low,causal_regret_all_rounds_ci_high,final_causal_regret_mean,final_causal_regret_se,final_causal_regret_ci_low,final_causal_regret_ci_high,mean_delay_mean,mean_delay_se,mean_delay_ci_low,mean_delay_ci_high,pending_at_horizon_mean,pending_at_horizon_se,pending_at_horizon_ci_low,pending_at_horizon_ci_high,pending_fraction_mean,pending_fraction_se,pending_fraction_ci_low,pending_fraction_ci_high,source_state_mismatch_mean,source_state_mismatch_se,source_state_mismatch_ci_low,source_state_mismatch_ci_high,ranking_reversal_rate_mean,ranking_reversal_rate_se,ranking_reversal_rate_ci_low,ranking_reversal_rate_ci_high,wrong_assignment_rate_mean,wrong_assignment_rate_se,wrong_assignment_rate_ci_low,wrong_assignment_rate_ci_high,labelled_arrival_fraction_mean,labelled_arrival_fraction_se,labelled_arrival_fraction_ci_low,labelled_arrival_fraction_ci_high,ci_level,uncertainty_unit,n_bootstrap,proxy_state_error_per_round_mean,proxy_state_error_per_round_se,proxy_state_error_per_round_ci_low,proxy_state_error_per_round_ci_high,absolute_proxy_distortion_per_round_mean,absolute_proxy_distortion_per_round_se,absolute_proxy_distortion_per_round_ci_low,absolute_proxy_distortion_per_round_ci_high,proxy_ranking_reversal_rate_mean,proxy_ranking_reversal_rate_se,proxy_ranking_reversal_rate_ci_low,proxy_ranking_reversal_rate_ci_high
observable_history_surrogate,1.0,30,30,0.5453427672947281,0.005522577919563635,0.5347259858731925,0.5555525884864015,0.5495728446916506,0.005207353565807061,0.5396788158051162,0.5593068120880021,2747.864223458252,26.036767829035306,2697.329864400954,2796.6248533473754,2.0,0.0,2.0,2.0,4.666666666666667,0.11072730647165328,4.433333333333334,4.866666666666666,0.0009333333333333333,2.2145461294330657e-05,0.0008933333333333331,0.0009733333333333334,0.28739202515119366,0.001483393545884589,0.2846366225779667,0.2903891648594489,0.15168832244006478,0.00035369644693016353,0.15102767324658933,0.1523973784256742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
observable_history_surrogate,1.5,30,30,0.5520510955373595,0.00584422523820454,0.5404843852038715,0.5634506470977407,0.5560958584504057,0.005497870290001192,0.545598324246079,0.566790013673598,2780.4792922520282,27.48935145000594,2727.86164320638,2832.603752217017,2.0,0.0,2.0,2.0,5.966666666666667,0.10152099984713352,5.766666666666667,6.166666666666667,0.0011933333333333334,2.0304199969426703e-05,0.0011533333333333333,0.001233333333333333,0.3054084628502713,0.0014752214171922043,0.302695155662225,0.30836486479248554,0.16644532844241505,0.0003257596344333379,0.16581892799025558,0.16708949714909258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
observable_history_surrogate,2.0,30,30,0.5540830071182502,0.005995002986525721,0.5428468961359262,0.5654759325248458,0.558019574134838,0.005768186072220249,0.5461132644789725,0.569111444595226,2790.097870674191,28.84093036110124,2734.7502538933695,2845.127948830363,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.0010800000000000002,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.3027591877975828,0.30905307040558766,0.1666811073045147,0.0003052590267960014,0.166107112671783,0.1672606790644703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
observable_history_surrogate,3.0,30,30,0.5593061518130013,0.004736449403000372,0.5500701361850097,0.5680835441216374,0.5629327814593836,0.004568440242490744,0.5539211279955488,0.5713708595644116,2814.663907296918,22.842201212453723,2768.8601433867234,2855.862408044105,2.0,0.0,2.0,2.0,5.4,0.11346172578623508,5.166666666666667,5.6,0.00108,2.2692345157247007e-05,0.0010333333333333334,0.00112,0.3062016064732401,0.0015559549953700932,0.30330205030868645,0.3092483058020357,0.16686686376049023,0.00033004661061454625,0.16625273718370495,0.16750221798400217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
proxy_label_recovery,0.0,30,30,0.5402022045550593,0.0021737576449540013,0.5358599818793974,0.5443681617604481,0.544471966016835,0.0020782516942998708,0.5403312514034302,0.5483122840177541,2722.3598300841754,10.391258471499356,2701.23984814265,2742.279943040822,2.0,0.0,2.0,2.0,2.1333333333333333,0.09264111117062016,1.9666666666666666,2.3,0.00042666666666666656,1.8528222234124027e-05,0.0003933333333333332,0.00045999999999999996,0.17770525124807804,0.0008914776018744883,0.1759607336789202,0.17953895040101947,0.06356046554176281,0.000269799454916931,0.06304852273108692,0.06410115433388959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,0.3987607083702976,0.0005044989886484046,0.39780538775077173,0.3997051756477256,0.09326290226641527,0.0002632189320459154,0.09275573923343201,0.09376821785742565,0.39639333333333326,0.0018322144966367402,0.3928856666666667,0.39962733333333333
proxy_label_recovery,0.25,30,30,0.5378977250302269,0.0027788948252661437,0.5324221484618886,0.5431152285886577,0.5421530838506936,0.0026903847693700448,0.5369275839204745,0.5472890662205987,2710.7654192534674,13.45192384685021,2683.018897687481,2735.2646139020017,2.0,0.0,2.0,2.0,2.8,0.11141720290623112,2.566666666666667,3.0,0.00056,2.2283440581246223e-05,0.0005199999999999998,0.0006,0.20429324838277504,0.001058341043407074,0.20241316881671784,0.2064685257587548,0.08484080645693984,0.0002494669547686847,0.08434550585066607,0.0853388606583416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,0.3987607083702976,0.0005044989886484046,0.3977322821141528,0.39970811369994785,0.09326290226641527,0.0002632189320459154,0.09275797122012554,0.0937533918786763,0.39639333333333326,0.0018322144966367402,0.3929260000000001,0.3999678333333334
proxy_label_recovery,0.5,30,30,0.5404263905322755,0.002375941096924196,0.5357525237455549,0.5448606346109343,0.5447093554843576,0.0022920088759954267,0.5402308981666253,0.5490097441181768,2723.546777421789,11.460044379977132,2701.709741128218,2744.42591897679,2.0,0.0,2.0,2.0,3.2666666666666666,0.11678975444487853,3.033333333333333,3.5,0.0006533333333333332,2.3357950888975707e-05,0.0006066666666666667,0.0006999999999999998,0.23184290582960243,0.0011152373955777123,0.22981318402383735,0.23412090775401115,0.10688319267334652,0.00027796820001115105,0.1063748094515549,0.10739682567531036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,0.3987607083702976,0.0005044989886484046,0.3977189368256494,0.3996986778922202,0.09326290226641527,0.0002632189320459154,0.09276769412347852,0.0937754521467281,0.39639333333333326,0.0018322144966367402,0.3926800000000001,0.3998136666666667
proxy_label_recovery,1.0,30,30,0.540651108569413,0.002473021995514762,0.5357452853877768,0.5454477855233195,0.545105547851381,0.0023935083051688706,0.5404813099999373,0.5495984011589288,2725.527739256904,11.967541525844348,2701.4707069701767,2747.087782567011,2.0,0.0,2.0,2.0,4.666666666666667,0.11072730647165328,4.466666666666667,4.866666666666666,0.0009333333333333333,2.2145461294330657e-05,0.0008933333333333331,0.0009733333333333334,0.28739202515119366,0.001483393545884589,0.2847132919991837,0.29056426896920895,0.15168832244006478,0.00035369644693016353,0.15103326441600395,0.15238860212388242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,0.3987607083702976,0.0005044989886484046,0.3977736352784214,0.3997099094519767,0.09326290226641527,0.0002632189320459154,0.09277350546699419,0.09375722005149045,0.39639333333333326,0.0018322144966367402,0.39269299999999996,0.3998268333333334
proxy_label_recovery,1.5,30,30,0.5420831661488829,0.0019909103555185988,0.5379507809549133,0.5458818140287222,0.5461516982295963,0.0018217960862747051,0.5425728350637425,0.5496346408493715,2730.7584911479807,9.108980431373523,2711.747119277171,2746.9821414449457,2.0,0.0,2.0,2.0,5.966666666666667,0.10152099984713352,5.766666666666667,6.166666666666667,0.0011933333333333334,2.0304199969426703e-05,0.0011533333333333333,0.0012333333333333332,0.3054084628502713,0.0014752214171922043,0.30273159901015045,0.3083395429493182,0.16644532844241505,0.0003257596344333379,0.16582557391704525,0.16707522454956367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,0.3987607083702976,0.0005044989886484046,0.39780028226756875,0.39968968801672805,0.09326290226641527,0.0002632189320459154,0.09274262464280322,0.09374730390259563,0.39639333333333326,0.0018322144966367402,0.39287333333333335,0.3997138333333334
proxy_label_recovery,2.0,30,30,0.5436468055476691,0.002595218196437939,0.538354665709938,0.5486261883549612,0.5477789228065343,0.0025291641054805427,0.5431293958128136,0.5526774716662805,2738.8946140326725,12.645820527402726,2714.6323025588613,2763.3107965514505,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.0010865000000000002,0.0011666666666666668,0.3057432572330691,0.0016884030082483271,0.3026125842359628,0.30906696144203005,0.1666811073045147,0.0003052590267960014,0.1661159916173866,0.16726288156297525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,0.3987607083702976,0.0005044989886484046,0.3977806971110704,0.3997230672825117,0.09326290226641527,0.0002632189320459154,0.09275205012077084,0.09377126164328696,0.39639333333333326,0.0018322144966367402,0.39283983333333333,0.3999933333333333
proxy_label_recovery,3.0,30,30,0.5406605490924284,0.002361885700367575,0.5361042233009725,0.5449811730749214,0.5448321295581766,0.0022353503114947073,0.5405995280016991,0.5491113813510875,2724.160647790882,11.17675155747355,2701.6131122970937,2745.353882751475,2.0,0.0,2.0,2.0,5.4,0.11346172578623508,5.166666666666667,5.6,0.00108,2.2692345157247007e-05,0.0010333333333333334,0.0011266666666666667,0.3062016064732401,0.0015559549953700932,0.3032778322897907,0.3094989547624359,0.16686686376049023,0.00033004661061454625,0.16624282603898494,0.1675664344832407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,0.3987607083702976,0.0005044989886484046,0.39777026499227747,0.39966907131417984,0.09326290226641527,0.0002632189320459154,0.09271038468669203,0.09378980719809057,0.39639333333333326,0.0018322144966367402,0.39294666666666667,0.3999201666666667
source_labelled_reference,0.0,30,30,0.28564836074129907,0.0009437118269726933,0.28377917167251426,0.28738076209320296,0.29983150679280574,0.000982537825775734,0.29787401477812825,0.30171540894894583,1499.1575339640285,4.912689128878667,1489.8491034532826,1508.7615746931024,2.0,0.0,2.0,2.0,2.1333333333333333,0.09264111117062016,1.9666666666666666,2.3,0.00042666666666666656,1.8528222234124027e-05,0.0003933333333333332,0.00045999999999999996,0.17770525124807804,0.0008914776018744883,0.17600785726752868,0.17944630766704886,0.06356046554176281,0.000269799454916931,0.06303442101011252,0.06410821159228816,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
source_labelled_reference,0.25,30,30,0.28469707374747416,0.0012954485097537343,0.28226971452677063,0.2871325892921497,0.2988725339261952,0.0012394371153136607,0.29651371299802737,0.30126526320724045,1494.3626696309761,6.1971855765683,1482.252979358068,1506.0589678490546,2.0,0.0,2.0,2.0,2.8,0.11141720290623112,2.6,3.0,0.00056,2.2283440581246223e-05,0.00052,0.0006000000000000001,0.20429324838277504,0.001058341043407074,0.2023485227254846,0.20640684804741558,0.08484080645693984,0.0002494669547686847,0.08435058010499427,0.08533770287359962,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
source_labelled_reference,0.5,30,30,0.283030121093525,0.0011202001266182315,0.2808213059618132,0.28526381485076463,0.29720395573874586,0.0010607777000612344,0.2951182546119136,0.2991434804391293,1486.0197786937294,5.30388850030618,1475.4196033584628,1496.3364884380485,2.0,0.0,2.0,2.0,3.2666666666666666,0.11678975444487853,3.033333333333333,3.5,0.0006533333333333332,2.3357950888975707e-05,0.0006066666666666667,0.0006999999999999999,0.23184290582960243,0.0011152373955777123,0.22977016254731136,0.234174141845007,0.10688319267334652,0.00027796820001115105,0.10633543900737306,0.10744220884745712,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
