seed,scenario,condition,method,horizon,status,failure_reason
0,aligned_static_delay_15,mixture_labelled,delayed_exp3,5000,completed,
0,aligned_static_delay_15,mixture_labelled,sliding_window_W250,5000,completed,
0,aligned_static_delay_15,mixture_labelled,anonymous_delayed,5000,completed,
0,aligned_static_delay_15,mixture_labelled,causal_labeled,5000,completed,
0,aligned_static_delay_15,mixture_labelled,causal_em,5000,completed,
0,aligned_static_delay_15,mixture_labelled,causal_em_misspecified,5000,completed,
0,aligned_static_delay_15,mixture_labelled,proxy,5000,completed,
0,aligned_static_delay_15,unlabelled,oracle,5000,completed,
0,aligned_static_delay_15,unlabelled,naive,5000,completed,
0,aligned_static_delay_15,unlabelled,naive_ewma,5000,completed,
0,aligned_static_delay_15,unlabelled,delayed_ucb,5000,completed,
0,aligned_static_delay_15,unlabelled,delayed_exp3,5000,completed,
0,aligned_static_delay_15,unlabelled,sliding_window_W250,5000,completed,
0,aligned_static_delay_15,unlabelled,anonymous_delayed,5000,completed,
0,aligned_static_delay_15,unlabelled,causal_labeled,5000,completed,
0,aligned_static_delay_15,unlabelled,causal_em,5000,completed,
0,aligned_static_delay_15,unlabelled,causal_em_misspecified,5000,completed,
0,aligned_static_delay_15,unlabelled,proxy,5000,completed,
0,geometric_mid,labelled,oracle,5000,completed,
0,geometric_mid,labelled,naive,5000,completed,
0,geometric_mid,labelled,naive_ewma,5000,completed,
0,geometric_mid,labelled,delayed_ucb,5000,completed,
0,geometric_mid,labelled,delayed_exp3,5000,completed,
0,geometric_mid,labelled,sliding_window_W250,5000,completed,
0,geometric_mid,labelled,anonymous_delayed,5000,completed,
0,geometric_mid,labelled,causal_labeled,5000,completed,
0,geometric_mid,labelled,causal_em,5000,completed,
0,geometric_mid,labelled,causal_em_misspecified,5000,completed,
0,geometric_mid,labelled,proxy,5000,completed,
0,geometric_mid,mixture_labelled,oracle,5000,completed,
0,geometric_mid,mixture_labelled,naive,5000,completed,
0,geometric_mid,mixture_labelled,naive_ewma,5000,completed,
0,geometric_mid,mixture_labelled,delayed_ucb,5000,completed,
0,geometric_mid,mixture_labelled,delayed_exp3,5000,completed,
0,geometric_mid,mixture_labelled,sliding_window_W250,5000,completed,
0,geometric_mid,mixture_labelled,anonymous_delayed,5000,completed,
0,geometric_mid,mixture_labelled,causal_labeled,5000,completed,
0,geometric_mid,mixture_labelled,causal_em,5000,completed,
0,geometric_mid,mixture_labelled,causal_em_misspecified,5000,completed,
0,geometric_mid,mixture_labelled,proxy,5000,completed,
0,geometric_mid,unlabelled,oracle,5000,completed,
0,geometric_mid,unlabelled,naive,5000,completed,
0,geometric_mid,unlabelled,naive_ewma,5000,completed,
0,geometric_mid,unlabelled,delayed_ucb,5000,completed,
0,geometric_mid,unlabelled,delayed_exp3,5000,completed,
0,geometric_mid,unlabelled,sliding_window_W250,5000,completed,
0,geometric_mid,unlabelled,anonymous_delayed,5000,completed,
