experiment_id,delay_setting,delay_family,setting_role,policy_dependent_delay,regime,method,n_seeds,mean_final_Rc,se_final_Rc,ci95_low,ci95_high,mean_delay,trace_observed_mean_delay,arrival_rate
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,labelled,sliding_window_W250,30,7424.109121013197,122.02948365295977,7184.931333053396,7663.286908972998,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,anonymous_delayed,30,7715.982477130246,115.94667321184306,7488.7269976350335,7943.237956625458,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,causal_em,30,2450.81923050229,80.88600633058013,2292.282658094353,2609.355802910227,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,causal_em_misspecified,30,2524.799061521705,72.82079919199148,2382.070295105402,2667.527827938008,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,causal_labeled,30,2612.2372519305054,56.925948282641244,2500.6623932965285,2723.8121105644823,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,delayed_exp3,30,7685.884917300465,121.96208356544001,7446.839233512203,7924.930601088727,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,delayed_ucb,30,5810.506621452944,109.05726175430306,5596.754388414511,6024.258854491378,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,naive,30,5491.997832314392,237.5480169539479,5026.403719084655,5957.59194554413,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,naive_ewma,30,5798.837974707826,142.59273220488745,5519.356219586247,6078.319729829405,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,oracle,30,0.0,0.0,0.0,0.0,15.000087036286763,15.000087036286763,0.9955866666666667
