figure_id,panel_id,mechanism_id,mechanism_display_name,delay_threshold,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,run_tier,paper_result
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,43,delay_survival_probability,30,0.0579266666666666,0.0004906934650353,0.0569466666666666,0.0588934999999999,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,44,delay_survival_probability,30,0.05412,0.000441793627382,0.0532733333333333,0.05498,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,45,delay_survival_probability,30,0.0507399999999999,0.0004500983289761,0.0498664999999999,0.0515868333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,46,delay_survival_probability,30,0.0472866666666666,0.0004071412343085,0.04652,0.04804,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,47,delay_survival_probability,30,0.0444333333333333,0.0003659135421196,0.0437333333333333,0.0451533333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,48,delay_survival_probability,30,0.0416666666666666,0.0003685739319254,0.04094,0.0423466666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,49,delay_survival_probability,30,0.0390999999999999,0.000374073568276,0.0383733333333333,0.0398534999999999,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,50,delay_survival_probability,30,0.03662,0.0003569152640993,0.0359131666666666,0.0372999999999999,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,51,delay_survival_probability,30,0.03414,0.0003641586113946,0.03344,0.0348266666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,52,delay_survival_probability,30,0.0318,0.0003554501759546,0.0310798333333333,0.0324534999999999,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,53,delay_survival_probability,30,0.0298133333333333,0.0003633728756295,0.0290533333333333,0.0305001666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,54,delay_survival_probability,30,0.0277599999999999,0.0003189638396973,0.0271466666666666,0.0283599999999999,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,55,delay_survival_probability,30,0.0260133333333333,0.0002803828799819,0.0254731666666666,0.0265201666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,56,delay_survival_probability,30,0.0242933333333333,0.0003254328093631,0.02366,0.0249001666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,57,delay_survival_probability,30,0.02266,0.0003245013858603,0.0219866666666666,0.0232468333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,58,delay_survival_probability,30,0.02116,0.0003243951046302,0.0205133333333333,0.0217733333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,59,delay_survival_probability,30,0.0197399999999999,0.0003515679166249,0.01904,0.0204133333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,60,delay_survival_probability,30,0.0182133333333333,0.0003502292626244,0.01754,0.0188736666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,61,delay_survival_probability,30,0.0169933333333333,0.0003660894097603,0.0162665,0.0176801666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,62,delay_survival_probability,30,0.0158666666666666,0.0003448582361857,0.0151866666666666,0.0165199999999999,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,63,delay_survival_probability,30,0.0149199999999999,0.0003426200603396,0.0142866666666666,0.0155803333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,64,delay_survival_probability,30,0.01394,0.0003324793658794,0.0132933333333333,0.0145603333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,65,delay_survival_probability,30,0.0128866666666666,0.0003220171100377,0.0122731666666666,0.0134933333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,66,delay_survival_probability,30,0.012,0.000317171406576,0.0113866666666666,0.0125866666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,67,delay_survival_probability,30,0.0111666666666666,0.0002978981285929,0.0105798333333333,0.0117266666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,68,delay_survival_probability,30,0.0103666666666666,0.0002794219539558,0.0098198333333333,0.0108803333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,69,delay_survival_probability,30,0.0096333333333333,0.0002535419588632,0.0091331666666666,0.0101199999999999,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,70,delay_survival_probability,30,0.0089066666666666,0.0002181918028598,0.0085065,0.0093266666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,71,delay_survival_probability,30,0.00832,0.0002154065922853,0.0078998333333333,0.00872,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,72,delay_survival_probability,30,0.0077733333333333,0.0001952854282004,0.0073933333333333,0.0081601666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,73,delay_survival_probability,30,0.00724,0.0001848018510132,0.0068798333333333,0.0075733333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,74,delay_survival_probability,30,0.0066666666666666,0.0001956617614768,0.0062998333333333,0.0070201666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,75,delay_survival_probability,30,0.0062133333333333,0.0001767999930653,0.0058866666666666,0.0065533333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,76,delay_survival_probability,30,0.0057866666666666,0.0001581308445075,0.0054666666666666,0.0060866666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,77,delay_survival_probability,30,0.0052866666666666,0.0001462742922812,0.0049866666666666,0.0055666666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,78,delay_survival_probability,30,0.0048733333333333,0.0001571245448851,0.0045731666666666,0.0051666666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,79,delay_survival_probability,30,0.0044933333333333,0.0001620935825438,0.0041666666666666,0.0047933333333333,2000,0.95,paper,True
