route_left,route_right,allocation_tv,top_k,top_k_overlap,top_k_set_disagreement,kendall_tau_b,common_active_cell_count,left_positive_credit_cell_count,right_positive_credit_cell_count,common_positive_credit_cell_count,analysis_tier,targeted_dimension,targeted_value,record_type,route_id,analysis_status,retained_journey_count,retained_user_count,eligible_decision_cell_count,cohort_mode
arrival_time_accounting_anchor,first_click_or_touch,0.654494382022472,10,0.8,0.19999999999999996,0.11559560772187563,,,,,targeted,candidate_window_days,30.0,arrival_displacement,first_click_or_touch,COMPLETED,11392,10971,19307,window_specific
arrival_time_accounting_anchor,last_click_or_touch,0.5108848314606741,10,0.8,0.19999999999999996,0.2613701646962087,,,,,targeted,candidate_window_days,30.0,arrival_displacement,last_click_or_touch,COMPLETED,11392,10971,19307,window_specific
arrival_time_accounting_anchor,linear_source_cell_credit,0.6011624742525298,10,0.8,0.19999999999999996,0.204822687865117,,,,,targeted,candidate_window_days,30.0,arrival_displacement,linear_source_cell_credit,COMPLETED,11392,10971,19307,window_specific
arrival_time_accounting_anchor,time_decay_source_cell_credit,0.5437032081901613,10,0.8,0.19999999999999996,0.23044451852687142,,,,,targeted,candidate_window_days,30.0,arrival_displacement,time_decay_source_cell_credit,COMPLETED,11392,10971,19307,window_specific
first_click_or_touch,last_click_or_touch,0.2384129213483146,10,1.0,0.0,0.298453140541172,,,,,targeted,candidate_window_days,30.0,source_route_pair,,COMPLETED,11392,10971,19307,window_specific
first_click_or_touch,linear_source_cell_credit,0.12915180210231175,10,1.0,0.0,0.6044263768055713,,,,,targeted,candidate_window_days,30.0,source_route_pair,,COMPLETED,11392,10971,19307,window_specific
first_click_or_touch,time_decay_source_cell_credit,0.2133436065874044,10,1.0,0.0,0.41974209474551927,,,,,targeted,candidate_window_days,30.0,source_route_pair,,COMPLETED,11392,10971,19307,window_specific
last_click_or_touch,linear_source_cell_credit,0.14019622646380844,10,1.0,0.0,0.6238902237195868,,,,,targeted,candidate_window_days,30.0,source_route_pair,,COMPLETED,11392,10971,19307,window_specific
last_click_or_touch,time_decay_source_cell_credit,0.04702899099955642,10,1.0,0.0,0.834000493907727,,,,,targeted,candidate_window_days,30.0,source_route_pair,,COMPLETED,11392,10971,19307,window_specific
linear_source_cell_credit,time_decay_source_cell_credit,0.10553800706913014,10,1.0,0.0,0.6863008657174995,,,,,targeted,candidate_window_days,30.0,source_route_pair,,COMPLETED,11392,10971,19307,window_specific
arrival_time_accounting_anchor,first_click_or_touch,0.5092561427128913,10,0.9,0.09999999999999998,0.18850124250498596,,,,,targeted,candidate_window_days,7.0,arrival_displacement,first_click_or_touch,COMPLETED,8913,8517,19307,common_intersection
arrival_time_accounting_anchor,last_click_or_touch,0.37484573095478513,10,0.9,0.09999999999999998,0.3417220410857466,,,,,targeted,candidate_window_days,7.0,arrival_displacement,last_click_or_touch,COMPLETED,8913,8517,19307,common_intersection
arrival_time_accounting_anchor,linear_source_cell_credit,0.45262070384083175,10,0.9,0.09999999999999998,0.29198801002021035,,,,,targeted,candidate_window_days,7.0,arrival_displacement,linear_source_cell_credit,COMPLETED,8913,8517,19307,common_intersection
arrival_time_accounting_anchor,time_decay_source_cell_credit,0.4160792836741575,10,0.9,0.09999999999999998,0.3251858611530335,,,,,targeted,candidate_window_days,7.0,arrival_displacement,time_decay_source_cell_credit,COMPLETED,8913,8517,19307,common_intersection
first_click_or_touch,last_click_or_touch,0.16907887355548076,10,1.0,0.0,0.5000707661655978,,,,,targeted,candidate_window_days,7.0,source_route_pair,,COMPLETED,8913,8517,19307,common_intersection
first_click_or_touch,linear_source_cell_credit,0.08434469715183279,10,1.0,0.0,0.7307300329416712,,,,,targeted,candidate_window_days,7.0,source_route_pair,,COMPLETED,8913,8517,19307,common_intersection
first_click_or_touch,time_decay_source_cell_credit,0.13022832639629645,10,1.0,0.0,0.6041226076211065,,,,,targeted,candidate_window_days,7.0,source_route_pair,,COMPLETED,8913,8517,19307,common_intersection
last_click_or_touch,linear_source_cell_credit,0.09276084157437237,10,1.0,0.0,0.7327951625434337,,,,,targeted,candidate_window_days,7.0,source_route_pair,,COMPLETED,8913,8517,19307,common_intersection
last_click_or_touch,time_decay_source_cell_credit,0.04773946683548698,10,1.0,0.0,0.8582855707888007,,,,,targeted,candidate_window_days,7.0,source_route_pair,,COMPLETED,8913,8517,19307,common_intersection
linear_source_cell_credit,time_decay_source_cell_credit,0.04860860615009201,10,1.0,0.0,0.84787301697492,,,,,targeted,candidate_window_days,7.0,source_route_pair,,COMPLETED,8913,8517,19307,common_intersection
arrival_time_accounting_anchor,first_click_or_touch,0.5583978458431504,10,0.9,0.09999999999999998,0.16562292559961247,,,,,targeted,candidate_window_days,30.0,arrival_displacement,first_click_or_touch,COMPLETED,8913,8517,19307,common_intersection
arrival_time_accounting_anchor,last_click_or_touch,0.37484573095478513,10,0.9,0.09999999999999998,0.3417220410857466,,,,,targeted,candidate_window_days,30.0,arrival_displacement,last_click_or_touch,COMPLETED,8913,8517,19307,common_intersection
arrival_time_accounting_anchor,linear_source_cell_credit,0.4902325711527902,10,0.9,0.09999999999999998,0.2680697607854358,,,,,targeted,candidate_window_days,30.0,arrival_displacement,linear_source_cell_credit,COMPLETED,8913,8517,19307,common_intersection
arrival_time_accounting_anchor,time_decay_source_cell_credit,0.41679198336164236,10,0.9,0.09999999999999998,0.29265870335847877,,,,,targeted,candidate_window_days,30.0,arrival_displacement,time_decay_source_cell_credit,COMPLETED,8913,8517,19307,common_intersection
first_click_or_touch,last_click_or_touch,0.26725008414675194,10,1.0,0.0,0.32664029783505916,,,,,targeted,candidate_window_days,30.0,source_route_pair,,COMPLETED,8913,8517,19307,common_intersection
first_click_or_touch,linear_source_cell_credit,0.14315472881537983,10,1.0,0.0,0.566433819336779,,,,,targeted,candidate_window_days,30.0,source_route_pair,,COMPLETED,8913,8517,19307,common_intersection
first_click_or_touch,time_decay_source_cell_credit,0.23915386779007874,10,1.0,0.0,0.3698860508348512,,,,,targeted,candidate_window_days,30.0,source_route_pair,,COMPLETED,8913,8517,19307,common_intersection
last_click_or_touch,linear_source_cell_credit,0.160047082255885,10,1.0,0.0,0.6226913307053357,,,,,targeted,candidate_window_days,30.0,source_route_pair,,COMPLETED,8913,8517,19307,common_intersection
last_click_or_touch,time_decay_source_cell_credit,0.05077122384817542,10,1.0,0.0,0.7511251738824671,,,,,targeted,candidate_window_days,30.0,source_route_pair,,COMPLETED,8913,8517,19307,common_intersection
linear_source_cell_credit,time_decay_source_cell_credit,0.12187934586453326,10,1.0,0.0,0.663068192888038,,,,,targeted,candidate_window_days,30.0,source_route_pair,,COMPLETED,8913,8517,19307,common_intersection
arrival_time_accounting_anchor,first_click_or_touch,0.13830965926774308,10,0.5,0.5,0.4824190992159766,,,,,targeted,time_decay_half_life_days,1.38629436112,arrival_displacement,first_click_or_touch,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,last_click_or_touch,0.10291682746772567,10,0.6,0.4,0.5788020903662099,,,,,targeted,time_decay_half_life_days,1.38629436112,arrival_displacement,last_click_or_touch,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,linear_source_cell_credit,0.11894253271498781,10,0.5,0.5,0.56049856418929,,,,,targeted,time_decay_half_life_days,1.38629436112,arrival_displacement,linear_source_cell_credit,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,time_decay_source_cell_credit,0.10916126396795664,10,0.5,0.5,0.589144819333549,,,,,targeted,time_decay_half_life_days,1.38629436112,arrival_displacement,time_decay_source_cell_credit,COMPLETED,240981,183533,19307,
first_click_or_touch,last_click_or_touch,0.06176835518152883,10,0.8,0.19999999999999996,0.7174258471978646,,,,,targeted,time_decay_half_life_days,1.38629436112,source_route_pair,,COMPLETED,240981,183533,19307,
first_click_or_touch,linear_source_cell_credit,0.03216834324618756,10,0.9,0.09999999999999998,0.8475712249359046,,,,,targeted,time_decay_half_life_days,1.38629436112,source_route_pair,,COMPLETED,240981,183533,19307,
first_click_or_touch,time_decay_source_cell_credit,0.049638155022721106,10,0.9,0.09999999999999998,0.7741811188326542,,,,,targeted,time_decay_half_life_days,1.38629436112,source_route_pair,,COMPLETED,240981,183533,19307,
last_click_or_touch,linear_source_cell_credit,0.032788333836238026,10,0.9,0.09999999999999998,0.8545082113377596,,,,,targeted,time_decay_half_life_days,1.38629436112,source_route_pair,,COMPLETED,240981,183533,19307,
last_click_or_touch,time_decay_source_cell_credit,0.01665405827747619,10,0.9,0.09999999999999998,0.9250167745648283,,,,,targeted,time_decay_half_life_days,1.38629436112,source_route_pair,,COMPLETED,240981,183533,19307,
linear_source_cell_credit,time_decay_source_cell_credit,0.019048877312472137,10,1.0,0.0,0.9165681733115445,,,,,targeted,time_decay_half_life_days,1.38629436112,source_route_pair,,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,first_click_or_touch,0.13830965926774308,10,0.5,0.5,0.4824190992159766,,,,,targeted,time_decay_half_life_days,1.0,arrival_displacement,first_click_or_touch,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,last_click_or_touch,0.10291682746772567,10,0.6,0.4,0.5788020903662099,,,,,targeted,time_decay_half_life_days,1.0,arrival_displacement,last_click_or_touch,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,linear_source_cell_credit,0.11894253271498781,10,0.5,0.5,0.56049856418929,,,,,targeted,time_decay_half_life_days,1.0,arrival_displacement,linear_source_cell_credit,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,time_decay_source_cell_credit,0.10749215903859295,10,0.6,0.4,0.5930973420263144,,,,,targeted,time_decay_half_life_days,1.0,arrival_displacement,time_decay_source_cell_credit,COMPLETED,240981,183533,19307,
first_click_or_touch,last_click_or_touch,0.06176835518152883,10,0.8,0.19999999999999996,0.7174258471978646,,,,,targeted,time_decay_half_life_days,1.0,source_route_pair,,COMPLETED,240981,183533,19307,
first_click_or_touch,linear_source_cell_credit,0.03216834324618756,10,0.9,0.09999999999999998,0.8475712249359046,,,,,targeted,time_decay_half_life_days,1.0,source_route_pair,,COMPLETED,240981,183533,19307,
first_click_or_touch,time_decay_source_cell_credit,0.05291201413399325,10,0.8,0.19999999999999996,0.760864069196908,,,,,targeted,time_decay_half_life_days,1.0,source_route_pair,,COMPLETED,240981,183533,19307,
last_click_or_touch,linear_source_cell_credit,0.032788333836238026,10,0.9,0.09999999999999998,0.8545082113377596,,,,,targeted,time_decay_half_life_days,1.0,source_route_pair,,COMPLETED,240981,183533,19307,
last_click_or_touch,time_decay_source_cell_credit,0.013459463912522061,10,1.0,0.0,0.9388974323541227,,,,,targeted,time_decay_half_life_days,1.0,source_route_pair,,COMPLETED,240981,183533,19307,
linear_source_cell_credit,time_decay_source_cell_credit,0.022531327687095374,10,0.9,0.09999999999999998,0.9012606292654242,,,,,targeted,time_decay_half_life_days,1.0,source_route_pair,,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,first_click_or_touch,0.13830965926774308,10,0.5,0.5,0.4824190992159766,,,,,targeted,time_decay_half_life_days,3.0,arrival_displacement,first_click_or_touch,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,last_click_or_touch,0.10291682746772567,10,0.6,0.4,0.5788020903662099,,,,,targeted,time_decay_half_life_days,3.0,arrival_displacement,last_click_or_touch,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,linear_source_cell_credit,0.11894253271498781,10,0.5,0.5,0.56049856418929,,,,,targeted,time_decay_half_life_days,3.0,arrival_displacement,linear_source_cell_credit,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,time_decay_source_cell_credit,0.11322167020315452,10,0.5,0.5,0.5782963049950499,,,,,targeted,time_decay_half_life_days,3.0,arrival_displacement,time_decay_source_cell_credit,COMPLETED,240981,183533,19307,
first_click_or_touch,last_click_or_touch,0.06176835518152883,10,0.8,0.19999999999999996,0.7174258471978646,,,,,targeted,time_decay_half_life_days,3.0,source_route_pair,,COMPLETED,240981,183533,19307,
first_click_or_touch,linear_source_cell_credit,0.03216834324618756,10,0.9,0.09999999999999998,0.8475712249359046,,,,,targeted,time_decay_half_life_days,3.0,source_route_pair,,COMPLETED,240981,183533,19307,
first_click_or_touch,time_decay_source_cell_credit,0.04194417237982777,10,0.9,0.09999999999999998,0.8057458924413152,,,,,targeted,time_decay_half_life_days,3.0,source_route_pair,,COMPLETED,240981,183533,19307,
last_click_or_touch,linear_source_cell_credit,0.032788333836238026,10,0.9,0.09999999999999998,0.8545082113377596,,,,,targeted,time_decay_half_life_days,3.0,source_route_pair,,COMPLETED,240981,183533,19307,
last_click_or_touch,time_decay_source_cell_credit,0.023596609035094973,10,0.9,0.09999999999999998,0.8946655842745429,,,,,targeted,time_decay_half_life_days,3.0,source_route_pair,,COMPLETED,240981,183533,19307,
linear_source_cell_credit,time_decay_source_cell_credit,0.010801221541837333,10,1.0,0.0,0.9524214172605902,,,,,targeted,time_decay_half_life_days,3.0,source_route_pair,,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,first_click_or_touch,0.13830965926774308,10,0.5,0.5,0.4824190992159766,,,,,targeted,time_decay_half_life_days,7.0,arrival_displacement,first_click_or_touch,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,last_click_or_touch,0.10291682746772567,10,0.6,0.4,0.5788020903662099,,,,,targeted,time_decay_half_life_days,7.0,arrival_displacement,last_click_or_touch,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,linear_source_cell_credit,0.11894253271498781,10,0.5,0.5,0.56049856418929,,,,,targeted,time_decay_half_life_days,7.0,arrival_displacement,linear_source_cell_credit,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,time_decay_source_cell_credit,0.11625721584772264,10,0.5,0.5,0.5691355540732006,,,,,targeted,time_decay_half_life_days,7.0,arrival_displacement,time_decay_source_cell_credit,COMPLETED,240981,183533,19307,
first_click_or_touch,last_click_or_touch,0.06176835518152883,10,0.8,0.19999999999999996,0.7174258471978646,,,,,targeted,time_decay_half_life_days,7.0,source_route_pair,,COMPLETED,240981,183533,19307,
first_click_or_touch,linear_source_cell_credit,0.03216834324618756,10,0.9,0.09999999999999998,0.8475712249359046,,,,,targeted,time_decay_half_life_days,7.0,source_route_pair,,COMPLETED,240981,183533,19307,
first_click_or_touch,time_decay_source_cell_credit,0.03657321845792372,10,0.9,0.09999999999999998,0.8283901925375666,,,,,targeted,time_decay_half_life_days,7.0,source_route_pair,,COMPLETED,240981,183533,19307,
last_click_or_touch,linear_source_cell_credit,0.032788333836238026,10,0.9,0.09999999999999998,0.8545082113377596,,,,,targeted,time_decay_half_life_days,7.0,source_route_pair,,COMPLETED,240981,183533,19307,
last_click_or_touch,time_decay_source_cell_credit,0.028555753712466502,10,0.9,0.09999999999999998,0.8730491094212467,,,,,targeted,time_decay_half_life_days,7.0,source_route_pair,,COMPLETED,240981,183533,19307,
linear_source_cell_credit,time_decay_source_cell_credit,0.004929099701836135,10,1.0,0.0,0.9781723937418777,,,,,targeted,time_decay_half_life_days,7.0,source_route_pair,,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,first_click_or_touch,0.13701778638688017,10,0.5,0.5,0.49836791405280273,,,,,targeted,minimum_impressions,50.0,arrival_displacement,first_click_or_touch,COMPLETED,237991,181232,19307,
arrival_time_accounting_anchor,last_click_or_touch,0.10142400342870109,10,0.7,0.30000000000000004,0.6059680522937511,,,,,targeted,minimum_impressions,50.0,arrival_displacement,last_click_or_touch,COMPLETED,237991,181232,19307,
arrival_time_accounting_anchor,linear_source_cell_credit,0.11756917178340678,10,0.6,0.4,0.5821753534592207,,,,,targeted,minimum_impressions,50.0,arrival_displacement,linear_source_cell_credit,COMPLETED,237991,181232,19307,
arrival_time_accounting_anchor,time_decay_source_cell_credit,0.10771067242089659,10,0.7,0.30000000000000004,0.6149205483402292,,,,,targeted,minimum_impressions,50.0,arrival_displacement,time_decay_source_cell_credit,COMPLETED,237991,181232,19307,
first_click_or_touch,last_click_or_touch,0.0613510594938464,10,0.8,0.19999999999999996,0.7092258059177504,,,,,targeted,minimum_impressions,50.0,source_route_pair,,COMPLETED,237991,181232,19307,
first_click_or_touch,linear_source_cell_credit,0.031908774661546825,10,0.9,0.09999999999999998,0.8441587823800544,,,,,targeted,minimum_impressions,50.0,source_route_pair,,COMPLETED,237991,181232,19307,
first_click_or_touch,time_decay_source_cell_credit,0.04931362908303233,10,0.8,0.19999999999999996,0.7673374943516962,,,,,targeted,minimum_impressions,50.0,source_route_pair,,COMPLETED,237991,181232,19307,
last_click_or_touch,linear_source_cell_credit,0.03255337686839298,10,0.9,0.09999999999999998,0.8495791461951828,,,,,targeted,minimum_impressions,50.0,source_route_pair,,COMPLETED,237991,181232,19307,
last_click_or_touch,time_decay_source_cell_credit,0.01649659171190943,10,1.0,0.0,0.9232885835561656,,,,,targeted,minimum_impressions,50.0,source_route_pair,,COMPLETED,237991,181232,19307,
linear_source_cell_credit,time_decay_source_cell_credit,0.018961876326260292,10,0.9,0.09999999999999998,0.9127590300023932,,,,,targeted,minimum_impressions,50.0,source_route_pair,,COMPLETED,237991,181232,19307,
arrival_time_accounting_anchor,first_click_or_touch,0.1370261900660109,10,0.5,0.5,0.49770241601658954,,,,,targeted,minimum_impressions,25.0,arrival_displacement,first_click_or_touch,COMPLETED,237991,181232,20198,
arrival_time_accounting_anchor,last_click_or_touch,0.10142400342870109,10,0.7,0.30000000000000004,0.6059680522937511,,,,,targeted,minimum_impressions,25.0,arrival_displacement,last_click_or_touch,COMPLETED,237991,181232,20198,
arrival_time_accounting_anchor,linear_source_cell_credit,0.11757337362297214,10,0.6,0.4,0.5816562296792332,,,,,targeted,minimum_impressions,25.0,arrival_displacement,linear_source_cell_credit,COMPLETED,237991,181232,20198,
arrival_time_accounting_anchor,time_decay_source_cell_credit,0.10771189686291066,10,0.7,0.30000000000000004,0.614864776481638,,,,,targeted,minimum_impressions,25.0,arrival_displacement,time_decay_source_cell_credit,COMPLETED,237991,181232,20198,
first_click_or_touch,last_click_or_touch,0.06136786685210786,10,0.8,0.19999999999999996,0.708121684258162,,,,,targeted,minimum_impressions,25.0,source_route_pair,,COMPLETED,237991,181232,20198,
first_click_or_touch,linear_source_cell_credit,0.03192208048683714,10,0.9,0.09999999999999998,0.843672679480485,,,,,targeted,minimum_impressions,25.0,source_route_pair,,COMPLETED,237991,181232,20198,
first_click_or_touch,time_decay_source_cell_credit,0.04933079287780452,10,0.8,0.19999999999999996,0.7664960219320547,,,,,targeted,minimum_impressions,25.0,source_route_pair,,COMPLETED,237991,181232,20198,
last_click_or_touch,linear_source_cell_credit,0.032563181160712155,10,0.9,0.09999999999999998,0.848592365221926,,,,,targeted,minimum_impressions,25.0,source_route_pair,,COMPLETED,237991,181232,20198,
last_click_or_touch,time_decay_source_cell_credit,0.016498970393834727,10,1.0,0.0,0.9229530231590581,,,,,targeted,minimum_impressions,25.0,source_route_pair,,COMPLETED,237991,181232,20198,
linear_source_cell_credit,time_decay_source_cell_credit,0.01896843615324116,10,0.9,0.09999999999999998,0.9121019309600354,,,,,targeted,minimum_impressions,25.0,source_route_pair,,COMPLETED,237991,181232,20198,
arrival_time_accounting_anchor,first_click_or_touch,0.13674466681513164,10,0.6,0.4,0.5105215921460294,,,,,targeted,minimum_impressions,100.0,arrival_displacement,first_click_or_touch,COMPLETED,237991,181232,17226,
arrival_time_accounting_anchor,last_click_or_touch,0.10138198503304746,10,0.7,0.30000000000000004,0.608408415260765,,,,,targeted,minimum_impressions,100.0,arrival_displacement,last_click_or_touch,COMPLETED,237991,181232,17226,
arrival_time_accounting_anchor,linear_source_cell_credit,0.11738232998406703,10,0.6,0.4,0.5877446888233572,,,,,targeted,minimum_impressions,100.0,arrival_displacement,linear_source_cell_credit,COMPLETED,237991,181232,17226,
arrival_time_accounting_anchor,time_decay_source_cell_credit,0.10761107832136907,10,0.7,0.30000000000000004,0.616309331426953,,,,,targeted,minimum_impressions,100.0,arrival_displacement,time_decay_source_cell_credit,COMPLETED,237991,181232,17226,
first_click_or_touch,last_click_or_touch,0.060956086574702396,10,0.8,0.19999999999999996,0.7300975497488918,,,,,targeted,minimum_impressions,100.0,source_route_pair,,COMPLETED,237991,181232,17226,
first_click_or_touch,linear_source_cell_credit,0.031686567379198616,10,0.9,0.09999999999999998,0.8544755912873928,,,,,targeted,minimum_impressions,100.0,source_route_pair,,COMPLETED,237991,181232,17226,
first_click_or_touch,time_decay_source_cell_credit,0.04898016040917645,10,0.8,0.19999999999999996,0.783681415524331,,,,,targeted,minimum_impressions,100.0,source_route_pair,,COMPLETED,237991,181232,17226,
last_click_or_touch,linear_source_cell_credit,0.032304242797496746,10,0.9,0.09999999999999998,0.8619789685899746,,,,,targeted,minimum_impressions,100.0,source_route_pair,,COMPLETED,237991,181232,17226,
