seed,delay_state_coupling_beta,arrival_time_naive,source_labelled_reference,mean_delay,pending_at_horizon,pending_fraction,source_state_mismatch,ranking_reversal_rate,source_binding_advantage
8,3.0,0.5954613528374567,0.2642258649379296,2.0,6,0.0012,0.2935163576335186,0.1680016019223067,0.3312354878995271
9,0.0,0.5945116571115535,0.2785812185108728,2.0,2,0.0004,0.179742043384109,0.0650260104041616,0.3159304386006807
9,0.25,0.5642226999528434,0.2798794757350807,2.0,2,0.0004,0.2042276809909051,0.086234493797519,0.28434322421776265
9,0.5,0.5574275076258349,0.2782560724317474,2.0,3,0.0006,0.2309299865721963,0.1070642385431258,0.27917143519408755
9,1.0,0.6130350500437098,0.2724621036710748,2.0,4,0.0008,0.2833421297534434,0.1501200960768615,0.340572946372635
9,1.5,0.6125610062650877,0.2688394539376602,2.0,6,0.0012,0.3035168754363788,0.1663996796155386,0.3437215523274275
9,2.0,0.6127271091585471,0.2670032351412477,2.0,6,0.0012,0.3039533226592256,0.1659991990388466,0.3457238740172994
9,3.0,0.5833993307679948,0.2677447025817859,2.0,5,0.001,0.301211266755031,0.1647647647647647,0.3156546281862089
10,0.0,0.574484748858453,0.2892591872331194,2.0,2,0.0004,0.1772535519061431,0.062625050020008,0.28522556162533363
10,0.25,0.6170355233082733,0.2885804206072488,2.0,3,0.0006,0.2024850754382492,0.0832499499699819,0.32845510270102446
10,0.5,0.585409448988477,0.289043578069558,2.0,4,0.0008,0.2356336336460307,0.1100880704563651,0.296365870918919
10,1.0,0.6154772057995421,0.2820329293502425,2.0,5,0.001,0.2939944056935684,0.1571571571571571,0.33344427644929964
10,1.5,0.6175777726867714,0.2746591843430787,2.0,7,0.0014,0.3106149921193983,0.1710394552373322,0.3429185883436927
10,2.0,0.5843673284919471,0.2872345010173882,2.0,6,0.0012,0.3073446967871165,0.1688025630756908,0.2971328274745589
10,3.0,0.5923414766299638,0.2809947894726425,2.0,6,0.0012,0.3074120365806474,0.1676011213456147,0.31134668715732133
11,0.0,0.5854531643876586,0.2887744371011038,2.0,3,0.0006,0.1743084912494715,0.0656393836301781,0.2966787272865548
11,0.25,0.5688073410048263,0.2850033233029096,2.0,3,0.0006,0.196370028922289,0.0848509105463277,0.2838040177019167
11,0.5,0.585281411528524,0.2819751360045322,2.0,3,0.0006,0.2241078139040455,0.1068641184710826,0.30330627552399175
11,1.0,0.5904987118411121,0.2757632252480888,2.0,5,0.001,0.2778183744821097,0.1529529529529529,0.31473548659302336
11,1.5,0.6011770651433953,0.279768972102233,2.0,5,0.001,0.2948756605679291,0.1673673673673673,0.3214080930411623
11,2.0,0.5965720889460165,0.2877584798808845,2.0,5,0.001,0.2953737281458863,0.1669669669669669,0.30881360906513206
11,3.0,0.6061528024896996,0.2867091368429557,2.0,5,0.001,0.2948906936876173,0.1679679679679679,0.3194436656467439
12,0.0,0.6074577698482027,0.2919618450402099,2.0,1,0.0002,0.1762238315562546,0.0610122024404881,0.31549592480799277
12,0.25,0.5792400560662107,0.2896234795999026,2.0,3,0.0006,0.2025888325447295,0.0840504302581549,0.28961657646630806
12,0.5,0.561133010015606,0.2805481615605126,2.0,4,0.0008,0.2297724071695545,0.1064851881505204,0.2805848484550934
12,1.0,0.5757007292844184,0.2724791803883651,2.0,5,0.001,0.2910402184142618,0.1545545545545545,0.3032215488960533
12,1.5,0.5594171360797086,0.2815363599623195,2.0,6,0.0012,0.3053484045284582,0.1649979975971165,0.27788077611738904
12,2.0,0.621069878529378,0.276196582632142,2.0,6,0.0012,0.3083276016313628,0.1678013616339607,0.34487329589723603
12,3.0,0.5763852434585955,0.2738611408239558,2.0,6,0.0012,0.3068143282497087,0.1663996796155386,0.30252410263463975
13,0.0,0.5981520460262394,0.2890901757936523,2.0,2,0.0004,0.17447993857174,0.0630252100840336,0.3090618702325871
13,0.25,0.5955263038091736,0.2886823271498162,2.0,4,0.0008,0.2051730052183785,0.0862690152121697,0.3068439766593574
13,0.5,0.6011771962464699,0.2865650475898973,2.0,4,0.0008,0.2308278790327585,0.1072858286629303,0.3146121486565726
13,1.0,0.606372372190844,0.2824300613215749,2.0,5,0.001,0.2855301235264929,0.1519519519519519,0.32394231086926906
13,1.5,0.5778745686277151,0.2758118152293255,2.0,6,0.0012,0.3048608077490721,0.1670004004805766,0.3020627533983896
13,2.0,0.6134944167197448,0.2809685687886091,2.0,6,0.0012,0.3099495828726251,0.1684020824989988,0.3325258479311357
13,3.0,0.6038570545131505,0.2815325380616327,2.0,5,0.001,0.3078741971432147,0.1673673673673673,0.32232451645151783
14,0.0,0.567872801113277,0.2863673173938757,2.0,2,0.0004,0.1783170965097254,0.0630252100840336,0.28150548371940126
14,0.25,0.6169571506124384,0.2740496822747167,2.0,3,0.0006,0.2030403281661486,0.0840504302581549,0.3429074683377217
14,0.5,0.5912860906014481,0.2769312255221588,2.0,4,0.0008,0.2273459695515178,0.1062850280224179,0.3143548650792893
14,1.0,0.5773864323296904,0.2758190552925437,2.0,5,0.001,0.2830807664120418,0.1515515515515515,0.30156737703714676
14,1.5,0.5891332620384315,0.2762097346365293,2.0,7,0.0014,0.3028213526490722,0.1680352493490887,0.3129235274019022
14,2.0,0.5782490297313708,0.278766518222993,2.0,6,0.0012,0.3044332742345348,0.1665999199038846,0.29948251150837785
14,3.0,0.5945293072109491,0.2761048648143841,2.0,6,0.0012,0.3052098062480302,0.1686023227873448,0.318424442396565
15,0.0,0.5939152799824806,0.2786909956129114,2.0,2,0.0004,0.1825042798703864,0.0638255302120848,0.31522428436956923
