subexperiment_id,setting_id,delay_state_coupling_beta,notes,experiment_id,seed,source_label_rate_q,proxy_noise_sigma,causal_regret_per_round,causal_regret_all_rounds,final_causal_regret,n_eval_rounds,labelled_arrivals,anonymous_arrivals,total_arrivals,labelled_arrival_fraction,min_label_arrival_gap,wrong_assignment_rate,proxy_state_error_per_round,proxy_ranking_reversal_rate,absolute_proxy_distortion_per_round,context_misclassification_rate,action_trace_sha256,proxy_observation_interface,method_id,method_display_name,information_interface,reference_role,diagnostic_only,deployable,mean_delay,pending_at_horizon,pending_fraction,source_state_mismatch,ranking_reversal_rate
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,23,0.0,0.25,0.5939362784014919,0.5957365553020669,2978.6827765103344,4750,0,0,4994,0.0,,0.8354024829795755,,,,0.41,ed95d95bc65831bfed5810ec0d1de1527d7fa111076371fdbc6a7338998fceac,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,6,0.0012,0.2946657456437949,0.1665999199038846
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,24,0.0,0.25,0.6152598257082519,0.615876343522543,3079.381717612715,4750,0,0,4994,0.0,,0.8618342010412495,,,,0.3936,ec6ca773fa530aecb67fae5fcbfb32a5fd2faf8012b1956157b7225ded4c13ac,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,6,0.0012,0.3019608508010493,0.1661994393271926
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,25,0.0,0.25,0.6303927546245943,0.6308256310502743,3154.128155251372,4750,0,0,4994,0.0,,0.8524229074889867,,,,0.415,709d72f8d399d8cc20fcce1bc514b67083e3dfc1a6f5dce0011b396dd0fb4a7a,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,6,0.0012,0.2977751715014783,0.1649979975971165
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,26,0.0,0.25,0.5575025828903885,0.5593625089334703,2796.812544667352,4750,0,0,4995,0.0,,0.8058058058058059,,,,0.3924,d3a39fb781843f6576f8277ddb72ff32d5552f4740054f4f00c117074b8128e4,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,5,0.001,0.3294592746110212,0.1661661661661661
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,27,0.0,0.25,0.5726290374243772,0.57788426664256,2889.4213332128,4750,0,0,4994,0.0,,0.8079695634761714,,,,0.3832,0177820208b40eb3ad533044301522ec61800a71e386306773ad31186fa1088c,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,6,0.0012,0.3051497015112668,0.1665999199038846
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,28,0.0,0.25,0.625053698604287,0.6262936089765794,3131.4680448828967,4750,0,0,4994,0.0,,0.8760512615138166,,,,0.4046,1efec471ca2405fa0b9d3d3b842c590ac16a10b1f1cbe0d1d605c827609c184c,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,6,0.0012,0.3011297736633891,0.1641970364437324
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,29,0.0,0.25,0.5827119873669537,0.5869122966028756,2934.5614830143777,4750,0,0,4995,0.0,,0.8304304304304304,,,,0.3934,5063da22cc6039d9fd926c90b7d8d6f4cbc1a77b5f3d358e654b0fad1335c9b6,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,5,0.001,0.2987041346506983,0.1697697697697697
delay_state_coupling_diagnostic,beta_0.00,0.0,,exp4_recoverability_boundary,0,0.0,0.25,0.5575843400484602,0.5615536021016865,2807.7680105084323,4750,0,0,4998,0.0,,0.7509003601440576,,,,0.3966,b0ab7c22269d666f89509c43710c7422cadcc30fef3c9761bb505177f879fc8d,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,2,0.0004,0.1836475487139847,0.0630252100840336
delay_state_coupling_diagnostic,beta_0.00,0.0,,exp4_recoverability_boundary,0,0.0,0.25,0.535297425606524,0.5393254844186259,2696.6274220931296,4750,0,0,4998,0.0,,0.0,,,,0.3966,e5a0bc614808919011316513cad4eed8ddcc36f12a7cb79206be696b8a75c1ab,simulator_emitted,observable_history_surrogate,Observable history surrogate,observable_history_proxy,none,False,True,2.0,2,0.0004,0.1836475487139847,0.0630252100840336
delay_state_coupling_diagnostic,beta_0.00,0.0,,exp4_recoverability_boundary,0,0.0,0.25,0.5571612631582756,0.558100663607705,2790.5033180385253,4750,0,4998,4998,0.0,,0.0,0.3937356254492087,0.3966,0.0924099468738912,0.3966,605e16950110ab3389bc41f699a9343c315581baa484094104d669839ec88bf1,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,2,0.0004,0.1836475487139847,0.0630252100840336
delay_state_coupling_diagnostic,beta_0.00,0.0,,exp4_recoverability_boundary,0,1.0,0.25,0.2745281812420079,0.2878023894971744,1439.011947485872,4750,4998,0,4998,1.0,1.0,0.0,,,,0.3966,6d312a0ba0e725e8941229fa459f4278230c8754aa2132e0621b46336055ca2c,simulator_emitted,source_labelled_reference,Source labelled reference,source_labelled,source_labelled_reference,False,False,2.0,2,0.0004,0.1836475487139847,0.0630252100840336
delay_state_coupling_diagnostic,beta_0.25,0.25,,exp4_recoverability_boundary,0,0.0,0.25,0.5777556319253808,0.5796652986169462,2898.326493084731,4750,0,0,4996,0.0,,0.7776220976781425,,,,0.3966,3058dc7ca334c1e6812692896b8448adebf357fa2011025b5c52afbd2be308f4,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,4,0.0008,0.2098375728416838,0.0836669335468374
delay_state_coupling_diagnostic,beta_0.25,0.25,,exp4_recoverability_boundary,0,0.0,0.25,0.544853222532163,0.5487346172546973,2743.6730862734867,4750,0,0,4996,0.0,,0.0,,,,0.3966,9fbae2b7e958bb1a1c8086932a983b8986079c8eed42c40b4d754896eaf813b2,simulator_emitted,observable_history_surrogate,Observable history surrogate,observable_history_proxy,none,False,True,2.0,4,0.0008,0.2098375728416838,0.0836669335468374
delay_state_coupling_diagnostic,beta_0.25,0.25,,exp4_recoverability_boundary,0,0.0,0.25,0.5259184737249131,0.5301929703199525,2650.9648515997624,4750,0,4996,4996,0.0,,0.0,0.3937356254492087,0.3966,0.0924099468738912,0.3966,1da90adf36ada7c2588c33549bf91791b7a61e54f671da423e4bad598cde212b,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,4,0.0008,0.2098375728416838,0.0836669335468374
delay_state_coupling_diagnostic,beta_0.25,0.25,,exp4_recoverability_boundary,0,1.0,0.25,0.2671825189075989,0.2812578009365737,1406.2890046828686,4750,4996,0,4996,1.0,1.0,0.0,,,,0.3966,3190f3730423bcdcafa7ad60f59a4a1c3affd6bf29e5943e466ca64958afae47,simulator_emitted,source_labelled_reference,Source labelled reference,source_labelled,source_labelled_reference,False,False,2.0,4,0.0008,0.2098375728416838,0.0836669335468374
delay_state_coupling_diagnostic,beta_0.50,0.5,,exp4_recoverability_boundary,0,0.0,0.25,0.5863643307049151,0.5875306652215373,2937.6533261076866,4750,0,0,4996,0.0,,0.7844275420336269,,,,0.3966,0dbdd069f38335d171faa4be088beaacfca73d933d129291c34f36e9e4c47d6a,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,4,0.0008,0.2384050877162604,0.1076861489191353
delay_state_coupling_diagnostic,beta_0.50,0.5,,exp4_recoverability_boundary,0,0.0,0.25,0.5039818805232471,0.5096797776347456,2548.398888173728,4750,0,0,4996,0.0,,0.0,,,,0.3966,1627cf990f67a661f35f70081ded3481eca82a78fa7116cc461bd729aeb5344d,simulator_emitted,observable_history_surrogate,Observable history surrogate,observable_history_proxy,none,False,True,2.0,4,0.0008,0.2384050877162604,0.1076861489191353
delay_state_coupling_diagnostic,beta_0.50,0.5,,exp4_recoverability_boundary,0,0.0,0.25,0.5424863195741713,0.5449602288619951,2724.801144309976,4750,0,4996,4996,0.0,,0.0,0.3937356254492087,0.3966,0.0924099468738912,0.3966,f24b93d0f7abceab3afca02788747be7d0874235dc8bab9a5f93d3a233cf64c1,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,4,0.0008,0.2384050877162604,0.1076861489191353
delay_state_coupling_diagnostic,beta_0.50,0.5,,exp4_recoverability_boundary,0,1.0,0.25,0.2722468017613226,0.2858416744189498,1429.208372094749,4750,4996,0,4996,1.0,1.0,0.0,,,,0.3966,09e4efd645eb311055cdf193a5c97b8c734c367516149d9e802dfded266f482f,simulator_emitted,source_labelled_reference,Source labelled reference,source_labelled,source_labelled_reference,False,False,2.0,4,0.0008,0.2384050877162604,0.1076861489191353
delay_state_coupling_diagnostic,beta_1.00,1.0,,exp4_recoverability_boundary,0,0.0,0.25,0.5198080706796163,0.5253880233001899,2626.940116500949,4750,0,0,4996,0.0,,0.7566052842273819,,,,0.3966,68134e3a7669a24b77d1120c31ae2f865fc490d1c7a9e4bb9dd2f7fe55e3421a,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,4,0.0008,0.2916734801358092,0.1501200960768615
delay_state_coupling_diagnostic,beta_1.00,1.0,,exp4_recoverability_boundary,0,0.0,0.25,0.5543534975508922,0.5568847652417988,2784.423826208994,4750,0,0,4996,0.0,,0.0,,,,0.3966,2ac3bda3bb5c5bbf91063b6f02b18d7f8bdaac82b233a8f472849b1c5634c2d0,simulator_emitted,observable_history_surrogate,Observable history surrogate,observable_history_proxy,none,False,True,2.0,4,0.0008,0.2916734801358092,0.1501200960768615
delay_state_coupling_diagnostic,beta_1.00,1.0,,exp4_recoverability_boundary,0,0.0,0.25,0.5418651695012822,0.5454986732339271,2727.4933661696355,4750,0,4996,4996,0.0,,0.0,0.3937356254492087,0.3966,0.0924099468738912,0.3966,029ea8e0cfa441233ffade42a0c5cb8025cd5972afb0ef28afdc39d21cda1fd3,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,4,0.0008,0.2916734801358092,0.1501200960768615
