experiment_id,delay_setting,delay_family,setting_role,policy_dependent_delay,regime,method,n_seeds,mean_final_Rc,se_final_Rc,ci95_low,ci95_high,mean_delay,trace_observed_mean_delay,arrival_rate
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,causal_em,30,2450.81923050229,80.88600633058013,2292.282658094353,2609.355802910227,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,causal_em_misspecified,30,2524.799061521705,72.82079919199148,2382.070295105402,2667.527827938008,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,causal_labeled,30,2612.2372519305054,56.925948282641244,2500.6623932965285,2723.8121105644823,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,delayed_exp3,30,7685.884917300465,121.96208356544001,7446.839233512203,7924.930601088727,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,delayed_ucb,30,5810.506621452944,109.05726175430306,5596.754388414511,6024.258854491378,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,naive,30,5491.997832314392,237.5480169539479,5026.403719084655,5957.59194554413,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,naive_ewma,30,5798.837974707826,142.59273220488745,5519.356219586247,6078.319729829405,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,oracle,30,0.0,0.0,0.0,0.0,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,proxy,30,2621.248451508987,65.85528723478951,2492.1720885287996,2750.324814489174,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,sliding_window_W250,30,7438.238605281671,114.91091697520734,7213.013208010265,7663.464002553077,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,anonymous_delayed,30,7713.324243109729,114.01819381458763,7489.848583233137,7936.79990298632,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,causal_em,30,5724.347585350969,265.13018470436975,5204.692423330404,6244.002747371534,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,causal_em_misspecified,30,5457.705953670718,221.891624202367,5022.798370234079,5892.613537107358,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,causal_labeled,30,7713.628057588886,119.38007932001001,7479.643102121667,7947.613013056105,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,delayed_exp3,30,7682.170257396693,117.1486690907652,7452.558865978794,7911.781648814593,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,delayed_ucb,30,5646.4850018458865,117.49226815743746,5416.200156257309,5876.769847434464,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,naive,30,5604.08359123441,211.25399743523116,5190.025756261357,6018.141426207463,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,naive_ewma,30,5772.706152457259,159.96562505303697,5459.173527353307,6086.2387775612115,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,oracle,30,0.0,0.0,0.0,0.0,15.000087036286763,15.000087036286763,0.9955866666666667
