metric_id,point_estimate,finite_resampling_count,resampling_mean,resampling_median,resampling_sd,resampling_bias,absolute_bias_over_sd,sensitivity_range_level,sensitivity_range_method,sensitivity_lower,sensitivity_upper,point_inside_sensitivity_range,formal_ci_validated,legacy_basic_lower_audit_only,legacy_basic_upper_audit_only,point_inside_legacy_basic_audit,parameter_lower_bound,parameter_upper_bound,object_type,object_id
maximum_heldout_reference_pair_gap_error,0.38591721312752125,1000,0.48581744789709275,0.48611979615435064,0.019890153360724555,0.0999002347695715,5.022597511331222,0.95,percentile_user_cluster_sensitivity,0.4474238836122197,0.5245767561048127,False,False,0.2472576701502298,0.3244105426428228,False,0.0,,route_metric,history_mean_control
mean_absolute_reference_pair_gap_error,0.16242927749590233,1000,0.21104683322685644,0.21096579098542134,0.010227633437684328,0.04861755573095411,4.753548905245256,0.95,percentile_user_cluster_sensitivity,0.19112256488617307,0.23200317240235163,False,False,0.09285538258945303,0.13373599010563159,False,0.0,,route_metric,history_mean_control
p90_absolute_reference_pair_gap_error,0.288380354866358,1000,0.36442851919417385,0.3642716468389974,0.01518612496859376,0.07604816432781586,5.007739926089779,0.95,percentile_user_cluster_sensitivity,0.336004713300155,0.3957970433277198,False,False,0.18096366640499617,0.24075599643256096,False,0.0,,route_metric,history_mean_control
heldout_reference_pair_sign_agreement,0.8673714400747273,1000,0.7935156841795621,0.7938951286526865,0.03028531308644032,-0.07385575589516524,2.4386657547295676,0.95,percentile_user_cluster_sensitivity,0.7322156182652108,0.8507570191613056,False,False,0.883985860988149,1.0,False,0.0,1.0,route_metric,history_mean_control
near_tie_pair_share,0.05447209145931405,1000,0.056769447742461,0.05682237504193224,0.0075794145825309085,0.0022973562831469507,0.30310471318483023,0.95,percentile_user_cluster_sensitivity,0.043246973770481006,0.07153954136064505,True,False,0.03740464155798305,0.0656972091481471,True,0.0,1.0,route_metric,history_mean_control
signed_cross_fitted_reference_minus_route_value_difference,-0.112286573473858,1000,-0.12781690362777817,-0.12684783494995147,0.020408804614749067,-0.015530330153920177,0.7609622634486243,0.95,percentile_user_cluster_sensitivity,-0.1722607018803982,-0.0894972417512339,True,False,-0.1350759051964821,-0.0523124450673178,True,,,route_metric,history_mean_control
top_action_agreement_with_fold_reference,0.5176470588235295,1000,0.4348705882352941,0.43529411764705883,0.06095440243493838,-0.08277647058823534,1.3580064323752403,0.95,percentile_user_cluster_sensitivity,0.31176470588235294,0.5529411764705883,True,False,0.48235294117647065,0.723529411764706,True,0.0,1.0,route_metric,history_mean_control
pooled_supported_cell_spearman,0.6957835038571462,1000,0.5924495208948513,0.593431996720412,0.035719259049030595,-0.1033339829622949,2.8929486700844467,0.95,percentile_user_cluster_sensitivity,0.5174995875381194,0.6588010605086804,False,False,0.732765947205612,0.8740674201761729,False,-1.0,1.0,route_metric,ridge_proxy
pooled_supported_cell_mae,0.10506464419687164,1000,0.13711565964481104,0.1366867869864767,0.008483645500972404,0.032051015447939396,3.7779767488240377,0.95,percentile_user_cluster_sensitivity,0.1220507841427354,0.15577936598906952,False,False,0.05434992240467376,0.08807850425100788,False,0.0,,route_metric,ridge_proxy
exposure_weighted_supported_cell_mae,0.09775033816453889,1000,0.13025237245645113,0.1295811730348293,0.009515508066346259,0.03250203429191224,3.4156908979839993,0.95,percentile_user_cluster_sensitivity,0.11309404694728989,0.15062079286833702,False,False,0.04487988346074076,0.08240662938178789,False,0.0,,route_metric,ridge_proxy
within_audit_unit_centered_spearman,0.782868688354173,1000,0.6951928608646151,0.6964534767400592,0.030872949905628097,-0.08767582748955793,2.839891482918344,0.95,percentile_user_cluster_sensitivity,0.6280085890160745,0.7531384389514235,False,False,0.8125989377569225,0.9377287876922715,False,-1.0,1.0,route_metric,ridge_proxy
calibration_intercept,0.36977660919262345,1000,0.38157578652461305,0.38597640422941115,0.2131168657552755,0.011799177331989597,0.055364821973023594,0.95,percentile_user_cluster_sensitivity,-0.04031727499095507,0.7949404345436065,True,False,-0.05538721615835962,0.779870493376202,True,,,route_metric,ridge_proxy
calibration_slope,0.8822196792382795,1000,0.8778659728311279,0.8767745115539949,0.06915084193321318,-0.004353706407151603,0.0629595574751855,0.95,percentile_user_cluster_sensitivity,0.7437950808016424,1.0083207326195172,True,False,0.7561186258570418,1.0206442776749167,True,,,route_metric,ridge_proxy
maximum_heldout_reference_pair_gap_error,0.3996226504928925,1000,0.49250589188440574,0.49179904926197215,0.020697452071283814,0.09288324139151327,4.487665490013716,0.95,percentile_user_cluster_sensitivity,0.452933547749781,0.5318346528573152,False,False,0.2674106481284697,0.34631175323600394,False,0.0,,route_metric,ridge_proxy
mean_absolute_reference_pair_gap_error,0.16702042394997663,1000,0.21183890659762897,0.21182153551424832,0.010594737394757307,0.04481848264765234,4.230258946279338,0.95,percentile_user_cluster_sensitivity,0.19071361652976565,0.23201627108407144,False,False,0.10202457681588181,0.1433272313701876,False,0.0,,route_metric,ridge_proxy
p90_absolute_reference_pair_gap_error,0.29869630224991095,1000,0.3670294234996573,0.3664516775057526,0.015602134727088754,0.06833312124974633,4.3797289566475115,0.95,percentile_user_cluster_sensitivity,0.3373384600172897,0.39624197138488704,False,False,0.20115063311493486,0.2600541444825322,False,0.0,,route_metric,ridge_proxy
heldout_reference_pair_sign_agreement,0.856586111535119,1000,0.7866284028109681,0.7867180753871474,0.0305266783555662,-0.06995770872415086,2.2916908256215454,0.95,percentile_user_cluster_sensitivity,0.7252665582642989,0.8460598931878639,False,False,0.8671123298823741,0.9879056648059391,False,0.0,1.0,route_metric,ridge_proxy
near_tie_pair_share,0.05447209145931405,1000,0.056769447742461,0.05682237504193224,0.0075794145825309085,0.0022973562831469507,0.30310471318483023,0.95,percentile_user_cluster_sensitivity,0.043246973770481006,0.07153954136064505,True,False,0.03740464155798305,0.0656972091481471,True,0.0,1.0,route_metric,ridge_proxy
